@relation 'North Shore Oahu'

@attribute buoyHeight numeric
@attribute buoyPeriod numeric
@attribute buoyDirection numeric
@attribute ww3Height numeric
@attribute ww3Period numeric
@attribute ww3Direction numeric
@attribute visualObservation numeric

@data
1.86,13.33,321,3.32,12.4,314.459991,5
1.91,12.5,329,3.32,12.4,314.459991,5
1.85,14.29,322,3.32,12.4,314.459991,5
1.99,14.29,325,3.32,12.4,314.459991,5
1.74,13.33,317,3.32,12.4,314.459991,5
1.89,13.33,324,3.32,12.4,314.459991,5
1.87,13.33,329,3.32,12.4,314.459991,5
1.67,13.33,331,3.32,12.4,314.459991,5
1.75,13.33,335,3.32,12.4,314.459991,5
1.31,11.76,326,3.32,12.4,314.459991,5
1.32,12.5,324,3.32,12.4,314.459991,5
1.46,11.76,326,3.32,12.4,314.459991,5
1.28,11.76,329,3.32,12.4,314.459991,5
1.34,11.76,333,3.32,12.4,314.459991,5
1.32,12.5,324,3.32,12.4,314.459991,5
1.43,12.5,324,3.32,12.4,314.459991,5
1.31,11.11,331,3.32,12.4,314.459991,5
1.23,12.5,326,3.32,12.4,314.459991,5
1.33,11.76,331,3.32,12.4,314.459991,5
1.37,12.5,329,3.32,12.4,314.459991,5
1.33,12.5,325,3.32,12.4,314.459991,5
1.3,12.5,311,3.32,12.4,314.459991,5
1.13,12.5,331,3.32,12.4,314.459991,5
1.06,11.76,324,2.3,11.37,315.679993,3
1.11,11.76,321,2.3,11.37,315.679993,3
1.23,11.76,315,2.3,11.37,315.679993,3
1.1,11.76,312,2.3,11.37,315.679993,3
1.12,12.5,314,2.3,11.37,315.679993,3
1.09,11.76,324,2.3,11.37,315.679993,3
1.06,11.76,319,2.3,11.37,315.679993,3
1.11,11.76,314,2.3,11.37,315.679993,3
1.06,12.5,318,2.3,11.37,315.679993,3
1.07,11.76,322,2.3,11.37,315.679993,3
1.03,11.76,332,2.3,11.37,315.679993,3
0.97,12.5,314,2.3,11.37,315.679993,3
1.02,12.5,325,2.3,11.37,315.679993,3
0.94,11.76,328,2.3,11.37,315.679993,3
1.05,11.76,321,2.3,11.37,315.679993,3
1.03,11.76,324,2.3,11.37,315.679993,3
1.03,12.5,324,2.3,11.37,315.679993,3
0.97,11.76,322,2.3,11.37,315.679993,3
0.97,11.76,319,2.3,11.37,315.679993,3
1.01,11.76,331,2.3,11.37,315.679993,3
1.04,11.11,324,2.3,11.37,315.679993,3
0.92,11.76,326,2.3,11.37,315.679993,3
0.96,12.5,338,2.3,11.37,315.679993,3
1.02,11.11,338,2.3,11.37,315.679993,3
1.06,11.76,326,2.3,11.37,315.679993,3
1.05,11.76,331,2.3,11.37,315.679993,3
1.06,11.76,328,2.3,11.37,315.679993,3
1.06,11.11,317,2.3,11.37,315.679993,3
1.09,11.76,329,2.06,11.02,317.669983,4
1.11,11.76,321,2.06,11.02,317.669983,4
1.06,11.11,329,2.06,11.02,317.669983,4
1.03,11.76,317,2.06,11.02,317.669983,4
0.96,10.53,295,2.06,11.02,317.669983,4
0.99,11.11,310,2.06,11.02,317.669983,4
0.99,10.53,305,2.06,11.02,317.669983,4
0.96,11.76,318,2.06,11.02,317.669983,4
0.94,11.76,321,2.06,11.02,317.669983,4
0.92,12.5,331,2.06,11.02,317.669983,4
0.92,11.11,303,2.06,11.02,317.669983,4
