@relation NoDirectionStrategy

@attribute buoyHeight numeric
@attribute buoyPeriod numeric
@attribute buoyDirection numeric
@attribute ww3Height numeric
@attribute ww3Period numeric
@attribute ww3Direction numeric
@attribute visualObservation numeric

@data
3.57,13.33,322,4,13.440001,317.690002,4.8768
2.65,13.33,322,3.23,12.2,318.499969,3.048
2.04,18.18,319,2.71,7.75,85.32,4.2672
2.68,15.38,318,3.27,14.33,319.190002,4.8768
2.52,15.38,321,3.24,14.08,318.079987,4.2672
1.93,13.33,317,2.81,13.099999,319.970001,3.048
2.46,20,310,2.43,11.869999,327.529968,12.192
4.72,18.18,319,4.42,15.839999,322.160004,13.4112
3.9,15.38,315,3.77,14.669999,317.839996,7.3152
2.8,11.76,333,2.91,12.15,316.660004,6.096
2.73,13.33,331,2.88,12.11,317.059967,3.048
2.11,11.76,332,2.57,11.209999,316.700012,2.4384
1.95,11.11,356,2.39,8.34,90.539993,2.4384
2.79,16.67,319,3.42,15.339999,316.009979,8.5344
3.3,16.67,324,3.67,14.67,315.640015,6.096
2.83,14.29,324,3.18,13.33,316.599976,3.6576
1.95,13.33,329,3,12.15,320.75,3.048
1.86,13.33,326,2.89,11.839999,317.569977,3.048
1.64,13.33,322,2.53,12.01,316.910004,2.4384
1.62,6.67,44,2.33,5.88,74.839996,1.8288
2.94,9.09,35,3.16,7.97,77.150002,1.8288
2.71,9.09,37,3.23,8.33,78.149994,1.8288
1.46,15.38,317,2.64,9.28,101.719994,4.2672
2.53,14.29,317,3.44,14.44,312.519989,6.096
2.48,14.29,318,3.35,13.94,310.649994,4.8768
2.33,16.67,328,3.73,14.7,316.649994,9.144
4.42,16.67,319,4.61,15.14,316.519989,10.9728
4.25,16.67,317,4.38,15.129999,315.130005,9.144
6.12,15.38,315,7.1,15.04,313.360016,15.24
6.51,16.67,311,6.89,14.809999,308.349976,12.192
4.31,14.29,304,5,13.39,309.289978,9.144
2.79,13.33,331,3.73,12.249999,317.350006,3.048
2.53,18.18,311,4.43,16.209999,309.390015,7.3152
4.19,20,310,5.02,16.349998,307.959991,15.24
3.79,16.67,315,4.54,15.679999,308.320007,9.144
3.28,13.33,322,3.94,13.64,308.719971,4.8768
2.48,12.5,328,3.11,12.09,312.75,4.2672
2.04,12.5,339,2.46,11.09,320.859985,1.8288
2.99,11.76,335,3.17,12.15,328,4.8768
4.95,12.5,318,5.79,12.53,315.789978,10.3632
4.31,12.5,312,5.41,12.639999,313.75,9.144
2.78,13.33,318,3.59,12.42,314.720001,3.6576
4.73,16.67,319,4.5,14.440001,308.869995,14.0208
4.96,16.67,322,4.69,15.179999,311.829987,10.9728
5.83,16.67,319,6.19,14.8,317.48999,9.144
4.97,15.38,328,5.89,14.69,316.999969,7.3152
2.94,13.33,331,4.02,13.32,315.559967,10.9728
4.32,16.67,329,3.99,14.789999,324.279999,7.3152
5.32,18.18,310,5.78,15.63,306.449982,15.24
4.68,16.67,307,5.7,15.59,305.100006,7.3152
2.57,13.33,310,3.53,13.31,299.509979,4.8768
1.88,18.18,315,3.16,16.99,301.589996,4.8768
3.07,15.38,310,4.6,16.139999,300.079987,9.144
3.1,13.33,312,4.36,15.809999,299.190002,5.4864
3.15,11.76,307,3.79,12.780001,301.929993,3.6576
2.09,11.11,324,3.01,11.74,300.700012,2.4384
1.54,7.69,40,2.1,10.36,309.889984,1.8288
1.64,15.38,319,2.97,14.62,298.200012,4.2672
1.88,14.29,297,2.92,14.309999,297.100006,4.2672
2.57,14.29,314,3.54,14.429999,305.209991,6.096
4.06,18.18,311,3.07,13.1,304.199982,9.144
4.15,16.67,307,4.11,13.77,311.880005,7.3152
3.58,14.29,315,4.11,12.52,310.529968,5.4864
2.88,12.5,345,3.09,11.36,324.269989,3.6576
1.9,12.5,348,2.11,11.509999,341.199982,3.048
2.53,16.67,311,3.79,14.61,303.369995,4.2672
2.88,16.67,310,3.78,14.57,303.639984,3.048
2.02,14.29,322,2.94,13.11,307.959991,2.4384
2.46,11.76,335,3.06,7.39,42.799999,2.4384
2.95,8.33,9,3.37,8.55,50.499996,3.048
2.65,11.76,333,3.15,8.469999,52.909996,1.8288
1.86,9.88,13,2.41,8.37,54.029999,1.8288
1.43,7.14,41,2.2,8.06,62.209999,1.2192
2.2,16.67,322,2.98,14.27,310.970001,4.2672
2.47,16.67,319,3.27,14.009999,310.929993,9.144
2.72,15.38,321,3.36,13.83,311.679993,5.4864
2.68,13.33,318,3.47,13.309999,306.379974,5.4864
2.59,14.29,321,3.27,13.2,306.559998,4.2672
2.76,18.18,304,2.62,17.969999,303.940002,9.144
2.88,18.18,315,3.21,16.309999,300.649994,7.3152
2.35,15.38,307,3.21,14.610001,295.709991,4.2672
1.8,13.33,311,2.67,13.16,294.899994,3.048
2.07,18.18,311,2.02,11.04,297.440002,7.3152
3.25,15.38,318,3.34,13.59,307.049988,9.144
3,15.38,311,3.1,13.139999,307.149994,3.6576
2.16,16.67,311,2.57,15.059999,306.579987,6.096
1.92,15.38,303,2.64,14.58,305.869995,4.8768
1.83,11.76,318,2.7,12.36,303.01001,4.8768
1.86,13.33,308,2.63,12.24,303.549988,4.2672
1.84,16.67,312,2.25,14.73,301.929993,4.2672
1.58,14.29,310,2.2,13.309999,299.949982,2.4384
1.17,12.5,310,1.77,11.98,298.399994,1.8288
1.4,13.33,321,1.63,12.19,303.309998,3.048
2.07,14.29,314,2.4,12.87,318.790009,4.2672
1.99,12.5,331,2.28,11.99,317.26001,2.4384
2.44,15.38,319,3.35,15.619999,302.72998,7.3152
2.59,16.67,319,3.57,14.789999,302.079987,6.096
2.55,12.5,314,2.84,13.4,299.47998,3.048
1.99,9.09,352,2.24,11.45,302.809998,1.8288
1.91,14.29,6,1.97,10.919999,305.350006,4.2672
2.03,15.38,0,2.09,11.860001,341.809998,3.048
2.43,12.5,336,2.82,12.6,326.130005,4.8768
2.73,13.33,335,2.78,11.629999,321.75,4.2672
2.39,15.38,317,2.61,15.11,311.649994,4.8768
2.06,14.29,318,2.73,13.5,310.48999,2.4384
1.46,11.76,345,2.47,10.9,312.869995,1.8288
1.08,9.09,33,2.01,9.5,83.529999,0.6096
1.43,15.38,314,2.48,15.21,300.890015,4.8768
2.08,14.29,319,2.8,13.08,305.019989,4.8768
2.01,12.5,318,2.9,11.88,308.329987,4.8768
3.35,12.5,324,3.64,11.94,320.769989,7.3152
3.24,14.29,335,3.49,11.610001,328.379974,5.4864
2.81,12.5,349,2.69,11.249999,351.480011,3.048
1.86,12.5,343,2.68,13.2,300.350006,3.6576
2.19,11.11,348,2.64,16.200001,183.509995,3.048
1.96,10.53,13,2.41,8.48,72.919998,1.2192
1.92,10.53,28,2.33,9.03,52.34,0.6096
2.12,9.88,31,2.11,8.809999,52.509998,0.6096
1.45,11.76,322,2.01,8.3,72.43,1.2192
1.5,9.09,35,1.95,7.85,83.269997,0.6096
1.28,9.09,38,2.02,8.190001,85.789993,2.4384
1.29,13.33,321,1.96,8.5,88.089996,1.2192
1.08,9.88,31,1.88,9.57,95.080002,1.2192
1.61,18.18,315,2.05,9.559999,76.299995,2.4384
2.47,15.38,312,2.58,14.52,306.679993,4.8768
2.41,13.33,338,2.7,13.19,316.649994,2.4384
2.08,9.09,35,2.94,7.83,79.779999,1.2192
1.72,7.69,41,2.45,7.54,88.019997,1.2192
1.74,7.69,37,2.84,7.46,88.959999,1.2192
1.8,7.69,42,2.77,7.73,80.049995,1.8288
1.81,8.33,48,2.72,7.75,78.68,1.2192
1.87,9.09,40,2.44,8.28,73.269997,0.6096
1.98,9.09,38,2.54,8.38,72.07,0.6096
2.1,9.09,42,2.99,8.02,78.449997,1.8288
2.32,9.09,49,3.06,8.09,79.089996,1.8288
1.91,7.69,42,2.75,8.45,86.379997,1.2192
1.97,7.69,47,2.72,8.41,85.690002,2.4384
1.82,14.29,328,2.36,8.26,91.379997,2.4384
1.81,13.33,319,2.41,7.77,85.559998,2.4384
1.58,15.38,307,1.97,13.450001,302.970001,2.4384
1.48,14.29,317,1.96,13.28,303.540009,2.4384
1.2,13.33,315,1.62,11.48,304.089996,1.2192
1.02,11.11,319,1.44,10.08,307.429993,1.2192
1.35,10.53,324,1.53,9.96,319.51001,2.4384
1.27,11.76,329,1.6,9.85,321.040009,1.8288
